"","ID","Source","Country","Species","Cap.year","Cap.gear","Sex","LS_Score","TL","sdtl","TWgt","sdtwgt","F.Ys.Wgt","D.T.Wgt","D.Ys.Wgt","Cls","Cli","sdcli","Clo","Len_Cl","Ts","Es","VDs","SVs","Sperm","LTW","RTW","LTWt","RTWt","CTWt","Os","Ovs","Us","OW","OWt","OvaM","OvaA","OvWM","LUWM","RUWM","LS_est","TL.pred","TWgt.pred","Cli.pred","Population","Hemisphere"
"19","NZL00019M","AB","New Zealand","Galeorhinus galeus",2022,"PSH","M",3,1460,NA,14800,NA,NA,14800,NA,3,169,NA,110,NA,3,3,3,2,NA,21,20,30,24,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
"20","NZL00062M","AB","New Zealand","Galeorhinus galeus",2021,"Trawl","M",3,1520,NA,16095.8781443503,733.885730854406,NA,15000,NA,3,160,NA,109,NA,3,NA,3,2,NA,37,35,68,71,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"New Zealand","South"
"21","NZL00063F","AB","New Zealand","Galeorhinus galeus",2021,"Trawl","F",3,1640,NA,26672.6460957547,1122.41267658944,NA,25200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,71,NA,NA,NA,31,46,37,NA,NA,1,NA,"New Zealand","South"
"22","NZL00064F","AB","New Zealand","Galeorhinus galeus",2021,"Trawl","F",2,760,NA,2109.06532977144,153.077836500412,NA,1862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,3,2,2,NA,NA,1,NA,"New Zealand","South"
"23","NZL00065M","AB","New Zealand","Galeorhinus galeus",2021,"Trawl","M",2,650,NA,1275.89330091285,104.972604943859,NA,1111,NA,1,41,NA,29,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"New Zealand","South"
"24","NZL00066M","AB","New Zealand","Galeorhinus galeus",2021,"Trawl","M",2,600,NA,1173.38328017386,98.8892775556473,NA,1020,NA,1,41,NA,18,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"New Zealand","South"
"25","NZL00067F","AB","New Zealand","Galeorhinus galeus",2021,"Trawl","F",3,1610,NA,13794.292189076,649.345279478812,NA,12800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,39,NA,NA,NA,20,43,43,NA,NA,1,NA,"New Zealand","South"
"26","NZL00068M","AB","New Zealand","Galeorhinus galeus",2021,"Trawl","M",3,1530,NA,17300,NA,NA,15700,NA,3,177,NA,107,NA,3,3,3,2,NA,39,39,100,68,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
"27","NZL00069M","AB","New Zealand","Galeorhinus galeus",2021,"Trawl","M",3,1480,NA,16616.5241983567,750.706778382029,NA,15500,NA,3,169,NA,115,NA,3,3,3,2,NA,28,39,72,58,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"New Zealand","South"
"28","NZL00070F","AB","New Zealand","Galeorhinus galeus",2021,"Trawl","F",3,1590,NA,26992.066444206,1141.12297999204,NA,25500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,111,557,NA,NA,29,51,38,NA,NA,1,NA,"New Zealand","South"
"29","NZL00071M","AB","New Zealand","Galeorhinus galeus",2021,"Trawl","M",3,1370,NA,14980,NA,NA,11000,NA,3,175,NA,116,NA,3,NA,3,2,NA,22,24,45,37,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
"30","NZL00073F","AB","New Zealand","Galeorhinus galeus",2022,"MWT","F",2,690,NA,1612.50959390144,124.480608451474,NA,1414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,4,2,2,NA,NA,1,NA,"New Zealand","South"
"31","NZL00074F","AB","New Zealand","Galeorhinus galeus",2022,"MWT","F",2,750,NA,1900,NA,NA,1615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,6,NA,NA,NA,4,1,1,NA,NA,NA,NA,"New Zealand","South"
"32","NZL00075F","AB","New Zealand","Galeorhinus galeus",2022,"MWT","F",2,1100,NA,8000,NA,NA,6700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,9,2,NA,NA,4,1,1,NA,NA,NA,NA,"New Zealand","South"
"33","NZL00076F","AB","New Zealand","Galeorhinus galeus",2022,"MWT","F",2,1250,NA,10700,NA,NA,8700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,14,3,4,2.66666666666667,6,2,2,NA,NA,NA,NA,"New Zealand","South"
"34","NZL00106F","AB","New Zealand","Galeorhinus galeus",2022,"BT","F",2,530,NA,744,NA,NA,675.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,"New Zealand","South"
"35","NZL00107M","AB","New Zealand","Galeorhinus galeus",2022,"BT","M",2,692,NA,1608,NA,NA,1425.5,NA,1,31,NA,19,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
"36","NZL00111F","AB","New Zealand","Galeorhinus galeus",2022,"BT","F",2,549,NA,878,NA,NA,616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
"37","NZL00112F","AB","New Zealand","Galeorhinus galeus",2022,"BT","F",2,586,NA,994,NA,NA,691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
"38","NZL00116M","AB","New Zealand","Galeorhinus galeus",2022,"BT","M",2,684,NA,1294,NA,NA,1217,NA,1,43,NA,20,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
"39","NZL00117M","AB","New Zealand","Galeorhinus galeus",2022,"BT","M",2,694,NA,1390,NA,NA,1295.5,NA,1,40,NA,20,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
"40","NZL00149F","AB","New Zealand","Galeorhinus galeus",2022,"BT","F",2,559,NA,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
"41","NZL00150F","AB","New Zealand","Galeorhinus galeus",2022,"BT","F",2,598,NA,884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
